N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,48201211100,Harris County,Texas,2017,37,39,35,37,44,30,29,3.8,-8.1,58,9.3,28,54,1.8,2.1,50,77.8,77.9,3,76.2,41,14,65.4,47.7,31,30,32,24,6,0,62,N/A,N/A,4,8.1,-43.8,81,6.7,10.3,2,51,5,12,22.1,13.1,42,42,43,63,4.4,22.8,21,N/A,N/A,4,81.8,48.6,34,41.8,44.1,87,22.3,39.2,47,83.4,82.8
1,N/A,48201211100,Harris County,Texas,2018,37,41,33,32,34,30,32,3.5,-5.6,37,16.1,13.2,54,1.8,2.1,46,78.1,77.4,3,76.2,41,15,64.9,47.3,42,51,32,24,6,0,66,N/A,N/A,64,2.3,33.3,81,6.7,10.3,3,50,6,12,22.1,13.1,37,38,36,65,5.9,27.9,11,N/A,N/A,3,82.3,45.3,30,41.9,45,83,22.1,35.7,29,84.4,80.2
2,N/A,48201211100,Harris County,Texas,2019,36,41,31,34,39,28,43,3.2,-1,35,22.7,17.4,54,1.8,2.1,42,78,76.7,3,77.5,44.7,14,64.5,46.4,38,41,34,60,15.2,31.8,12,N/A,N/A,52,8,20.8,81,6.7,10.3,8,49,11,12,22.1,13.1,37,42,32,65,8.4,29.7,19,N/A,N/A,3,82.9,47.4,35,42,44.4,73,21.8,30.1,15,85.3,77.5
3,N/A,48201211100,Harris County,Texas,2020,31,36,26,27,25,29,40,3,-2.5,10,29.4,-17.9,54,1.8,2.1,45,77.7,76.7,3,78.8,45.7,14,63.9,45.7,26,29,23,59,7.4,20.7,17,N/A,N/A,10,12.1,-10.3,47,5.9,5.7,11,48,14,11,22.6,13.2,40,54,27,62,10.3,26.9,45,N/A,N/A,2,83.6,48.3,28,42,45.5,70,21.7,28.9,7,86,74.7
4,N/A,48201211100,Harris County,Texas,2021,32,35,28,26,17,36,27,-0.9,-19.9,7,21.6,-70,54,1.8,2.1,55,77.6,78.5,9,85.1,65.2,26,63.5,52.7,38,41,34,23,5,0,48,N/A,N/A,52,8.7,23.1,81,11.5,17.1,7,46,10,13,22.6,14.1,30,48,13,50,11.1,18.6,46,N/A,N/A,2,85.1,45.6,27,41.2,45.3,N/A,24,N/A,10,86.1,75.3
5,N/A,48201211100,Harris County,Texas,2022,34,36,31,26,17,34,27,-2.8,-39.1,7,26.4,-68.8,54,1.8,2.1,43,76.9,75.4,16,87,73.4,22,63.7,50.3,44,47,41,9,-13.2,-28.6,64,N/A,N/A,69,15.2,115.6,91,12.6,24,12,47,14,21,23.1,16.6,32,44,19,29,11.7,9.1,59,N/A,N/A,4,85.3,55.2,41,41.3,42.7,N/A,24.1,N/A,13,85.6,76.1
6,N/A,48201211100,Harris County,Texas,2023,26,23,29,25,18,32,30,-4.5,-52,7,44,-61.8,54,1.8,2.1,24,75.6,69.4,5,88.4,67.4,44,63.9,61.3,32,35,29,44,30,36,56,N/A,N/A,5,-8.8,-66.9,55,11,11.8,12,47,14,20,22.6,15.9,20,16,25,17,14.3,5,14,N/A,N/A,8,85.4,61.5,53,41.5,41,N/A,24.8,N/A,13,85.5,75.7
7,N/A,48201211100,Harris County,Texas,2024,26,18,35,25,18,32,30,-4.5,-52,7,44,-61.8,54,1.8,2.1,24,75.6,69.4,5,88.4,67.4,44,63.9,61.3,34,19,48,23,-5.2,-8.8,30,N/A,N/A,5,-8.8,-66.9,78,11,16.1,12,47,14,54,1.3,1.5,20,16,25,17,14.3,5,14,N/A,N/A,8,85.4,61.5,53,41.5,41,N/A,24.8,N/A,13,85.5,75.7
8,Yes,04013113100,Maricopa County,Arizona,2017,40,37,42,37,16,58,33,2.4,1.3,0,-4.3,-100,61,3.1,4.3,97,74.2,89.2,8,82,54.5,67,65.4,71.5,50,67,34,70,5,7.6,42,N/A,N/A,90,6,47.3,12,3.8,1.7,56,46,53,N/A,N/A,N/A,32,28,35,35,1.5,-3.6,20,N/A,N/A,3,83.7,43.3,4,40.5,53.5,91,18.3,44.4,42,88.4,86.6
